iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0422071,0.00373907,0.0549685,1,346,1,0
10000,18.5447,0.00373907,0.0549685,5516,787404,9999,0
20000,34.2775,0.00373907,0.0549685,10237,1125566,10000,0
30000,51.7542,0.00373907,0.0549685,14962,1369193,10000,0
40000,65.1066,0.00373907,0.0549685,19525,1372439,10000,0
50000,82.0391,0.00373907,0.0549685,24006,1461825,10000,0
60000,96.7855,0.00373907,0.0549685,28479,1519028,10000,0
70000,114.56,0.00373907,0.0549685,32941,1606451,10000,0
80000,128.592,0.00373907,0.0549685,37356,1596475,10000,0
90000,144.439,0.00373907,0.0549685,41699,1645895,10000,0
100000,160.339,0.00373907,0.0549685,46018,1659163,10000,0
110000,178.364,0.00373907,0.0549685,50357,1699020,10000,0
120000,201.475,0.00373907,0.0549685,54582,1787402,10000,0
130000,216.888,0.00373907,0.0549685,58760,1777431,10000,0
140000,236.87,0.00373907,0.0549685,63010,1815000,10000,0
150000,258.264,0.00373907,0.0549685,67212,1851403,10000,0
160000,276.112,0.00373907,0.0549685,71315,1841427,10000,0
170000,295.329,0.00373907,0.0549685,75416,1879566,10000,0
180000,311.495,0.00373907,0.0549685,79540,1869590,10000,0
190000,329.997,0.00373907,0.0549685,83577,1909766,10000,0
200000,348.36,0.00373907,0.0549685,87555,1942139,10000,0
210000,365.273,0.00373907,0.0549685,91587,1932166,10000,0
220000,382.881,0.00373907,0.0549685,95494,1922191,10000,0
230000,400.516,0.00373907,0.0549685,99393,1912555,10000,0
240000,418.556,0.00373907,0.0549685,103298,1902576,10000,0
250000,454.487,0.00373907,0.0549685,107156,2034104,10000,0
260000,473.523,0.00373907,0.0549685,111116,2024125,10000,0
270000,496.546,0.00373907,0.0549685,114987,2061878,10000,0
280000,520.933,0.00373907,0.0549685,118817,2095931,10000,0
290000,540.984,0.00373907,0.0549685,122672,2085964,10000,0
300000,569.137,0.00373907,0.0549685,126601,2107598,10000,0
310000,589.761,0.00373907,0.0549685,130339,2097616,10000,0
320000,659.303,0.00373907,0.0549685,134300,2256730,10000,0
330000,702.398,0.00373907,0.0549685,138069,2318645,10000,0
340000,740.176,0.00373907,0.0549685,141782,2372562,10000,0
350000,778.966,0.00373907,0.0549685,145447,2430815,10000,0
360000,812.34,0.00373907,0.0549685,149164,2464155,10000,0
370000,834.84,0.00373907,0.0549685,152829,2454181,10000,0
380000,857.665,0.00373907,0.0549685,156483,2444201,10000,0
390000,880.444,0.00373907,0.0549685,160129,2434237,10000,0
400000,903.293,0.00373907,0.0549685,163812,2424609,10000,0
410000,926.396,0.00373907,0.0549685,167428,2414631,10000,0
420000,967.19,0.00373907,0.0549685,170979,2486668,10000,0
430000,990.867,0.00373907,0.0549685,174527,2476696,10000,0
440000,1014.37,0.00373907,0.0549685,178236,2466713,10000,0
