iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0152856,0.199213,0.384389,1,348,1,0
10000,8.34644,0.199213,0.384389,5523,1569961,9999,0
20000,17.8241,0.199213,0.384389,10584,2896965,10000,0
30000,36.3289,0.199213,0.384389,15405,3913623,10000,0
40000,69.4936,0.199213,0.384389,20070,4954253,10000,0
50000,130.847,0.199213,0.384389,24700,6134698,10000,0
60000,228.355,0.199213,0.384389,29230,7162355,10000,0
70000,311.135,0.199213,0.384389,34008,7666706,10000,0
80000,364.317,0.199213,0.384389,38724,7898110,10000,0
90000,403.739,0.199213,0.384389,43363,8059937,10000,0
100000,488.461,0.199213,0.384389,47970,8366037,10000,0
110000,689.181,0.199213,0.384389,52524,8970965,10000,0
120000,951.206,0.199213,0.384389,57124,9615692,10000,0
130000,1011.37,0.199213,0.384389,61636,9714900,10000,0
140000,1373.65,0.199213,0.384389,66145,10544982,10000,0
150000,1808.95,0.199213,0.384389,70702,11507303,10000,0
160000,2020.67,0.199213,0.384389,75270,11907768,10000,0
170000,2167.07,0.199213,0.384389,79760,12174860,10000,0
180000,2197.87,0.199213,0.384389,84298,12215048,10000,0
190000,2435.39,0.199213,0.384389,88833,12673885,10000,0
200000,2511.71,0.199213,0.384389,93317,12801172,10000,0
210000,2732.9,0.199213,0.384389,97868,13225356,10000,0
220000,2863.71,0.199213,0.384389,102441,13462252,10000,0
230000,2885.5,0.199213,0.384389,107015,13478062,10000,0
240000,2917.35,0.199213,0.384389,111565,13511987,10000,0
250000,2948.66,0.199213,0.384389,116102,13550844,10000,0
260000,2956.88,0.199213,0.384389,120665,13540879,10000,0
270000,3071.02,0.199213,0.384389,125167,13722458,10000,0
280000,3114.12,0.199213,0.384389,129683,13750488,10000,0
