iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0032218,0.0446691,0.0504792,1,34,1,0
10000,4.63904,0.0446691,0.0504792,4751,32754,9969,30
20000,8.40995,0.0446691,0.0504792,9369,45017,9950,50
30000,11.9919,0.0446691,0.0504792,13671,49671,9912,88
40000,15.341,0.0446691,0.0504792,17714,49907,9882,118
50000,18.4697,0.0446691,0.0504792,21541,47752,9805,195
60000,21.9944,0.0446691,0.0504792,24893,49030,9362,638
70000,25.4298,0.0446691,0.0504792,28449,46484,9703,297
80000,28.1464,0.0446691,0.0504792,32241,43377,9588,412
90000,31.4165,0.0446691,0.0504792,35769,47188,9600,400
100000,34.2088,0.0446691,0.0504792,38870,43973,9723,277
110000,37.1764,0.0446691,0.0504792,41525,41418,9432,568
120000,39.9143,0.0446691,0.0504792,44329,37182,9474,526
130000,42.5656,0.0446691,0.0504792,46922,30695,9550,450
140000,44.8727,0.0446691,0.0504792,49385,23528,8680,1320
150000,46.9874,0.0446691,0.0504792,51380,17157,7055,2945
160000,49.0393,0.0446691,0.0504792,54068,12159,7952,2048
169821,50.3861,0.0345031,0.0345031,55371,7647,4150,5671
