iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.0082826,0.0445691,0.0503792,1,34,1,0
10000,6.63115,0.0445691,0.0503792,4726,36724,9973,26
20000,12.206,0.0445691,0.0503792,9314,52452,9956,44
30000,16.6573,0.0445691,0.0503792,13665,60974,9933,67
40000,20.6834,0.0445691,0.0503792,17784,63963,9905,95
50000,24.4899,0.0445691,0.0503792,21633,63343,9885,115
60000,28.1472,0.0445691,0.0503792,25401,61308,9799,201
70000,31.9002,0.0445691,0.0503792,28793,61036,9124,876
80000,36.2402,0.0445691,0.0503792,32050,61181,9802,198
90000,39.2264,0.0445691,0.0503792,35546,54485,9532,468
100000,42.8303,0.0445691,0.0503792,39110,55942,9610,390
110000,46.4268,0.0445691,0.0503792,42308,56423,9537,463
120000,49.6959,0.0445691,0.0503792,45150,54018,9759,241
130000,53.0935,0.0445691,0.0503792,47734,53215,9490,510
140000,56.2388,0.0445691,0.0503792,50610,49480,9638,362
150000,59.5681,0.0445691,0.0503792,53142,43329,9759,241
160000,62.0778,0.0445691,0.0503792,55491,35862,8550,1450
170000,64.9112,0.0445691,0.0503792,57931,29868,9112,888
180000,67.1109,0.0445691,0.0503792,59806,23584,7047,2953
190000,69.8991,0.0445691,0.0503792,62357,19653,8119,1881
200000,71.512,0.0445691,0.0503792,63692,14251,4765,5235
205858,73.5286,0.0326428,0.0326428,64662,11325,3986,1872
