iterations,time,lowerbound,upperbound,graph_size,queue_size,explore,exploit
1,0.004122,0.0445691,0.0503792,1,34,1,0
10000,5.26356,0.0445691,0.0503792,4726,36724,9973,26
20000,9.60577,0.0445691,0.0503792,9314,52452,9956,44
30000,13.3,0.0445691,0.0503792,13665,60974,9933,67
40000,16.8192,0.0445691,0.0503792,17784,63963,9905,95
50000,20.2387,0.0445691,0.0503792,21633,63343,9885,115
60000,23.4812,0.0445691,0.0503792,25401,61308,9799,201
70000,26.8022,0.0445691,0.0503792,28793,61036,9124,876
80000,30.7136,0.0445691,0.0503792,32050,61181,9802,198
90000,33.3813,0.0445691,0.0503792,35546,54485,9532,468
100000,36.5142,0.0445691,0.0503792,39110,55942,9610,390
110000,39.6933,0.0445691,0.0503792,42308,56423,9537,463
120000,42.5685,0.0445691,0.0503792,45150,54018,9759,241
130000,45.724,0.0445691,0.0503792,47734,53215,9490,510
140000,48.533,0.0445691,0.0503792,50610,49480,9638,362
150000,51.4096,0.0445691,0.0503792,53142,43329,9759,241
160000,53.7625,0.0445691,0.0503792,55491,35862,8550,1450
170000,56.3122,0.0445691,0.0503792,57931,29868,9112,888
180000,58.2734,0.0445691,0.0503792,59806,23584,7047,2953
190000,60.6738,0.0445691,0.0503792,62357,19653,8119,1881
200000,62.2221,0.0445691,0.0503792,63692,14251,4765,5235
205858,63.2784,0.0326428,0.0326428,64662,11325,3986,1872
